Date : 2024-03-14 12:08:52
Directory : d:\work\programming228\web\game-tensor
Total : 89 files,  16382 codes, 235 comments, 314 blanks, all 16931 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\work\programming228\web\game-tensor\src\helper\Constants\mockImagesTags.ts         | TypeScript         |          7 |          0 |          1 |          8 |
| d:\work\programming228\web\game-tensor\src\helper\Constants\mockRules.ts              | TypeScript         |        125 |          0 |          1 |        126 |
| d:\work\programming228\web\game-tensor\src\helper\Constants\mockTags.ts               | TypeScript         |          8 |          0 |          1 |          9 |
| d:\work\programming228\web\game-tensor\src\helper\Constants\mockUsers.ts              | TypeScript         |         10 |          0 |          1 |         11 |
| d:\work\programming228\web\game-tensor\src\helper\Types\game.ts                       | TypeScript         |         59 |          0 |          7 |         66 |
| d:\work\programming228\web\game-tensor\src\interceptors\api.ts                        | TypeScript         |         53 |          6 |          7 |         66 |
| d:\work\programming228\web\game-tensor\src\layouts\AdminLayot.tsx                     | TypeScript JSX     |         19 |          0 |          2 |         21 |
| d:\work\programming228\web\game-tensor\src\layouts\Layout.tsx                         | TypeScript JSX     |         38 |          2 |          4 |         44 |
| d:\work\programming228\web\game-tensor\src\layouts\RegistrationLayout.tsx             | TypeScript JSX     |         19 |          0 |          2 |         21 |
| d:\work\programming228\web\game-tensor\src\pages\_app.tsx                             | TypeScript JSX     |          7 |          0 |          3 |         10 |
| d:\work\programming228\web\game-tensor\src\pages\_document.tsx                        | TypeScript JSX     |         12 |          0 |          2 |         14 |
| d:\work\programming228\web\game-tensor\src\pages\ad\[adId].tsx                        | TypeScript JSX     |        123 |         23 |          6 |        152 |
| d:\work\programming228\web\game-tensor\src\pages\ad\create.tsx                        | TypeScript JSX     |        148 |          2 |         11 |        161 |
| d:\work\programming228\web\game-tensor\src\pages\admin\approve.tsx                    | TypeScript JSX     |         96 |         11 |          9 |        116 |
| d:\work\programming228\web\game-tensor\src\pages\admin\block.tsx                      | TypeScript JSX     |         61 |          0 |          5 |         66 |
| d:\work\programming228\web\game-tensor\src\pages\admin\create.tsx                     | TypeScript JSX     |         15 |          0 |          3 |         18 |
| d:\work\programming228\web\game-tensor\src\pages\advertisements.tsx                   | TypeScript JSX     |         52 |          0 |          5 |         57 |
| d:\work\programming228\web\game-tensor\src\pages\index.tsx                            | TypeScript JSX     |         67 |         13 |          3 |         83 |
| d:\work\programming228\web\game-tensor\src\pages\login.tsx                            | TypeScript JSX     |         56 |          1 |          4 |         61 |
| d:\work\programming228\web\game-tensor\src\pages\registration.tsx                     | TypeScript JSX     |         90 |          1 |          5 |         96 |
| d:\work\programming228\web\game-tensor\src\pages\rules.tsx                            | TypeScript JSX     |         36 |          0 |          3 |         39 |
| d:\work\programming228\web\game-tensor\src\pages\user\[userId].tsx                    | TypeScript JSX     |         91 |          0 |          4 |         95 |
| d:\work\programming228\web\game-tensor\src\pages\user\settings.tsx                    | TypeScript JSX     |         24 |          0 |          3 |         27 |
| d:\work\programming228\web\game-tensor\src\store\ads\adsSelector.ts                   | TypeScript         |          6 |          0 |          5 |         11 |
| d:\work\programming228\web\game-tensor\src\store\ads\adsSlice.ts                      | TypeScript         |         42 |          1 |          6 |         49 |
| d:\work\programming228\web\game-tensor\src\store\ads\adsThunk.ts                      | TypeScript         |         28 |         14 |          2 |         44 |
| d:\work\programming228\web\game-tensor\src\store\currentUser\currentUserSelector.ts   | TypeScript         |         15 |          0 |          5 |         20 |
| d:\work\programming228\web\game-tensor\src\store\currentUser\currentUserSlice.ts      | TypeScript         |         46 |          1 |          6 |         53 |
| d:\work\programming228\web\game-tensor\src\store\currentUser\currentUserThunk.ts      | TypeScript         |         15 |          0 |          2 |         17 |
| d:\work\programming228\web\game-tensor\src\store\id\idSelector.ts                     | TypeScript         |          5 |          0 |          4 |          9 |
| d:\work\programming228\web\game-tensor\src\store\id\idSlice.ts                        | TypeScript         |         42 |          1 |          6 |         49 |
| d:\work\programming228\web\game-tensor\src\store\id\idThunk.ts                        | TypeScript         |         12 |          0 |          2 |         14 |
| d:\work\programming228\web\game-tensor\src\store\imageId\imageIdSelector.ts           | TypeScript         |          2 |          0 |          2 |          4 |
| d:\work\programming228\web\game-tensor\src\store\imageId\imageSlice.ts                | TypeScript         |         19 |          0 |          5 |         24 |
| d:\work\programming228\web\game-tensor\src\store\imageId\imageThunk.ts                | TypeScript         |         25 |          0 |          3 |         28 |
| d:\work\programming228\web\game-tensor\src\store\login\loginSelector.ts               | TypeScript         |         15 |          0 |          5 |         20 |
| d:\work\programming228\web\game-tensor\src\store\login\loginSlice.ts                  | TypeScript         |         36 |          0 |          5 |         41 |
| d:\work\programming228\web\game-tensor\src\store\login\loginThunk.ts                  | TypeScript         |         20 |          0 |          2 |         22 |
| d:\work\programming228\web\game-tensor\src\store\logout\logoutSlice.ts                | TypeScript         |         32 |          0 |          5 |         37 |
| d:\work\programming228\web\game-tensor\src\store\logout\logoutThunk.ts                | TypeScript         |         14 |          0 |          2 |         16 |
| d:\work\programming228\web\game-tensor\src\store\registration\registrationSelector.ts | TypeScript         |         15 |          0 |          5 |         20 |
| d:\work\programming228\web\game-tensor\src\store\registration\registrationSlice.ts    | TypeScript         |         37 |          0 |          4 |         41 |
| d:\work\programming228\web\game-tensor\src\store\registration\registrationThunk.ts    | TypeScript         |         19 |          0 |          2 |         21 |
| d:\work\programming228\web\game-tensor\src\store\search\searchSelector.ts             | TypeScript         |         12 |          0 |          5 |         17 |
| d:\work\programming228\web\game-tensor\src\store\search\searchSlice.ts                | TypeScript         |         42 |          1 |          6 |         49 |
| d:\work\programming228\web\game-tensor\src\store\search\searchThunk.ts                | TypeScript         |         38 |          1 |          2 |         41 |
| d:\work\programming228\web\game-tensor\src\store\store.ts                             | TypeScript         |         36 |          1 |          3 |         40 |
| d:\work\programming228\web\game-tensor\src\store\tags\tagsSelector.ts                 | TypeScript         |          5 |          0 |          4 |          9 |
| d:\work\programming228\web\game-tensor\src\store\tags\tagsSlice.ts                    | TypeScript         |         42 |          1 |          6 |         49 |
| d:\work\programming228\web\game-tensor\src\store\tags\tagsThunk.ts                    | TypeScript         |         11 |          0 |          2 |         13 |
| d:\work\programming228\web\game-tensor\src\styles\AdminApprove.module.scss            | SCSS               |         90 |          0 |          2 |         92 |
| d:\work\programming228\web\game-tensor\src\styles\AdminBlock.module.scss              | SCSS               |         74 |          0 |          1 |         75 |
| d:\work\programming228\web\game-tensor\src\styles\Advertisements.module.scss          | SCSS               |         63 |          0 |          2 |         65 |
| d:\work\programming228\web\game-tensor\src\styles\CardAds.module.scss                 | SCSS               |         32 |          0 |          1 |         33 |
| d:\work\programming228\web\game-tensor\src\styles\CardTag.module.scss                 | SCSS               |         15 |          0 |          1 |         16 |
| d:\work\programming228\web\game-tensor\src\styles\CreateAds.module.scss               | SCSS               |        119 |          0 |          2 |        121 |
| d:\work\programming228\web\game-tensor\src\styles\CreateTag.module.scss               | SCSS               |         41 |          0 |          1 |         42 |
| d:\work\programming228\web\game-tensor\src\styles\FollowModal.module.scss             | SCSS               |         58 |          0 |          1 |         59 |
| d:\work\programming228\web\game-tensor\src\styles\Footer.module.scss                  | SCSS               |         60 |          0 |          1 |         61 |
| d:\work\programming228\web\game-tensor\src\styles\GameId.module.scss                  | SCSS               |        123 |          0 |          2 |        125 |
| d:\work\programming228\web\game-tensor\src\styles\Header.module.scss                  | SCSS               |        177 |          0 |          8 |        185 |
| d:\work\programming228\web\game-tensor\src\styles\Home.module.scss                    | SCSS               |         65 |          0 |          1 |         66 |
| d:\work\programming228\web\game-tensor\src\styles\Registration.module.scss            | SCSS               |         58 |          0 |          1 |         59 |
| d:\work\programming228\web\game-tensor\src\styles\Rules.module.scss                   | SCSS               |         26 |          0 |          1 |         27 |
| d:\work\programming228\web\game-tensor\src\styles\Settings.module.scss                | SCSS               |         43 |          0 |          1 |         44 |
| d:\work\programming228\web\game-tensor\src\styles\Sidebar.module.scss                 | SCSS               |        147 |          0 |          4 |        151 |
| d:\work\programming228\web\game-tensor\src\styles\TagsSearch.module.scss              | SCSS               |         76 |          0 |          1 |         77 |
| d:\work\programming228\web\game-tensor\src\styles\UserId.module.scss                  | SCSS               |        111 |          0 |          3 |        114 |
| d:\work\programming228\web\game-tensor\src\styles\globals.css                         | CSS                |        256 |          0 |         14 |        270 |
| d:\work\programming228\web\game-tensor\tsconfig.json                                  | JSON with Comments |         22 |          0 |          1 |         23 |
| Total                                                                                 |                    |     16,382 |        235 |        314 |     16,931 |
+---------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
